service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ASP21GEN-1037-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
ASP21GEN-2048-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
ASP21GEN-3041-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
ASP21GEN-4049-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
ASP21GEN-5048-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
ASP21GEN-6030-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
ASP21GEN-7025-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
BSP21GEN-A053-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
BSP21GEN-C027-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
BSP21GEN-D041-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
BSP21GEN-E046-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
BSP21GEN-F048-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
BSP21GEN-FS012-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
BSP21GEN-G037-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
ASP21GEN-GS013-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
BSP21GEN-H025-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
BSP21GEN-J032-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
BSP21GEN-L022-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
BSP21GEN-M023-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
BSP21GEN-N059-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
BSP21GEN-Q023-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
BSP21GEN-R050-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
SIR-FA2017-SI017-Sunday-00,0,0,0,0,0,0,1,20210725,20211114
ASP21GEN-1087-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
ASP21GEN-2097-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
ASP21GEN-3087-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
ASP21GEN-4098-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
ASP21GEN-5108-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
ASP21GEN-6086-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
ASP21GEN-7061-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-A083-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-B081-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-C052-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-D077-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-E073-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-F075-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-FS011-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-G052-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-G052-Weekday-00-0111100,0,1,1,1,1,0,0,20210726,20211119
ASP21GEN-GS022-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-H040-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-H040-Weekday-00-0111100,0,1,1,1,1,0,0,20210726,20211119
BSP21GEN-J052-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-L045-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-M089-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-M089-Weekday-00-0111100,0,1,1,1,1,0,0,20210726,20211119
BSP21GEN-N093-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-Q062-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
BSP21GEN-R089-Weekday-00,1,1,1,1,1,0,0,20210726,20211119
SIR-FA2017-SI017-Weekday-08,1,1,1,1,1,0,0,20210726,20211119
ASP21GEN-1038-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
ASP21GEN-2042-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
ASP21GEN-3039-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
ASP21GEN-4043-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
ASP21GEN-5043-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
ASP21GEN-6033-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
ASP21GEN-7023-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
BSP21GEN-A046-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
BSP21GEN-C025-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
BSP21GEN-D038-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
BSP21GEN-E041-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
BSP21GEN-F044-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
BSP21GEN-FS011-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
BSP21GEN-G036-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
ASP21GEN-GS013-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
BSP21GEN-H026-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
BSP21GEN-J032-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
BSP21GEN-L022-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
BSP21GEN-M024-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
BSP21GEN-N056-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
BSP21GEN-Q021-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
BSP21GEN-R051-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
SIR-FA2017-SI017-Saturday-00,0,0,0,0,0,1,0,20210731,20211120
