trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
3,15:40:00,15:40:00,115,1,,0,0,1
3,15:48:00,15:48:00,20,2,,0,0,1
3,15:56:00,15:56:00,87,3,,0,0,1
3,16:05:00,16:05:00,24,4,,0,0,1
3,16:13:00,16:13:00,111,5,,0,0,1
3,16:25:00,16:25:00,118,6,,0,0,1
4,17:20:00,17:20:00,115,1,,0,0,1
4,17:28:00,17:28:00,20,2,,0,0,1
4,17:36:00,17:36:00,87,3,,0,0,1
4,17:45:00,17:45:00,24,4,,0,0,1
4,17:57:00,17:57:00,118,5,,0,0,1
6,18:10:00,18:10:00,87,1,,0,0,1
6,18:17:00,18:17:00,11,2,,0,0,1
6,18:31:00,18:31:00,23,3,,0,0,1
7,16:10:00,16:10:00,87,1,,0,0,1
7,16:17:00,16:17:00,11,2,,0,0,1
7,16:24:00,16:24:00,111,3,,0,0,1
7,16:36:00,16:36:00,23,4,,0,0,1
8,16:30:00,16:30:00,115,1,,0,0,1
8,16:38:00,16:38:00,20,2,,0,0,1
8,16:46:00,16:46:00,87,3,,0,0,1
8,16:55:00,16:55:00,24,4,,0,0,1
8,17:03:00,17:03:00,111,5,,0,0,1
8,17:15:00,17:15:00,118,6,,0,0,1
9,08:37:00,08:37:00,87,1,,0,0,1
9,08:44:00,08:44:00,11,2,,0,0,1
9,08:58:00,08:58:00,23,3,,0,0,1
10,17:10:00,17:10:00,87,1,,0,0,1
10,17:17:00,17:17:00,11,2,,0,0,1
10,17:24:00,17:24:00,111,3,,0,0,1
10,17:36:00,17:36:00,23,4,,0,0,1
12,09:27:00,09:27:00,87,1,,0,0,1
12,09:34:00,09:34:00,11,2,,0,0,1
12,09:48:00,09:48:00,23,3,,0,0,1
13,18:10:00,18:10:00,115,1,,0,0,1
13,18:18:00,18:18:00,20,2,,0,0,1
13,18:26:00,18:26:00,87,3,,0,0,1
13,18:35:00,18:35:00,24,4,,0,0,1
13,18:47:00,18:47:00,118,5,,0,0,1
20,06:36:00,06:36:00,86,1,,0,0,1
20,06:40:45,06:40:45,66,2,,0,0,0
20,06:42:18,06:42:18,74,3,,0,0,0
20,06:44:23,06:44:23,68,4,,0,0,0
20,06:49:07,06:49:07,107,5,,0,0,0
20,06:50:51,06:50:51,108,6,,0,0,0
20,06:53:42,06:53:42,131,7,,0,0,0
20,06:54:17,06:54:17,133,8,,0,0,0
20,06:56:26,06:56:26,132,9,,0,0,0
20,06:58:27,06:58:27,82,10,,0,0,0
20,07:01:03,07:01:03,83,11,,0,0,0
20,07:03:40,07:03:40,84,12,,0,0,0
20,07:05:40,07:05:40,85,13,,0,0,0
20,07:06:46,07:06:46,67,14,,0,0,0
20,07:11:00,07:11:00,86,15,,0,0,1
21,06:56:00,06:56:00,86,1,,0,0,1
21,07:00:45,07:00:45,66,2,,0,0,0
21,07:02:18,07:02:18,74,3,,0,0,0
21,07:04:23,07:04:23,68,4,,0,0,0
21,07:09:07,07:09:07,107,5,,0,0,0
21,07:10:51,07:10:51,108,6,,0,0,0
21,07:13:42,07:13:42,131,7,,0,0,0
21,07:14:17,07:14:17,133,8,,0,0,0
21,07:16:26,07:16:26,132,9,,0,0,0
21,07:18:27,07:18:27,82,10,,0,0,0
21,07:21:03,07:21:03,83,11,,0,0,0
21,07:23:40,07:23:40,84,12,,0,0,0
21,07:25:40,07:25:40,85,13,,0,0,0
21,07:26:46,07:26:46,67,14,,0,0,0
21,07:31:00,07:31:00,86,15,,0,0,1
25,16:31:00,16:31:00,118,1,,0,0,1
25,16:45:00,16:45:00,111,2,,0,0,1
25,16:53:00,16:53:00,24,3,,0,0,1
25,17:03:00,17:03:00,87,4,,0,0,1
25,17:10:00,17:10:00,20,5,,0,0,1
25,17:15:00,17:15:00,115,6,,0,0,1
26,16:40:00,16:40:00,23,1,,0,0,1
26,16:54:00,16:54:00,111,2,,0,0,1
26,17:01:00,17:01:00,11,3,,0,0,1
26,17:06:00,17:06:00,87,4,,0,0,1
27,17:21:00,17:21:00,118,1,,0,0,1
27,17:35:00,17:35:00,111,2,,0,0,1
27,17:43:00,17:43:00,24,3,,0,0,1
27,17:53:00,17:53:00,87,4,,0,0,1
27,18:00:00,18:00:00,20,5,,0,0,1
27,18:05:00,18:05:00,115,6,,0,0,1
35,19:00:00,19:00:00,115,1,,0,0,1
35,19:08:00,19:08:00,20,2,,0,0,1
35,19:16:00,19:16:00,87,3,,0,0,1
35,19:24:00,19:24:00,11,4,,0,0,1
35,19:33:00,19:33:00,24,5,,0,0,1
35,19:48:00,19:48:00,118,6,,0,0,1
35,19:53:00,19:53:00,23,7,,0,0,1
36,20:05:00,20:05:00,115,1,,0,0,1
36,20:13:00,20:13:00,20,2,,0,0,1
36,20:21:00,20:21:00,87,3,,0,0,1
36,20:29:00,20:29:00,11,4,,0,0,1
36,20:38:00,20:38:00,24,5,,0,0,1
36,20:53:00,20:53:00,118,6,,0,0,1
36,20:58:00,20:58:00,23,7,,0,0,1
37,21:10:00,21:10:00,115,1,,0,0,1
37,21:18:00,21:18:00,20,2,,0,0,1
37,21:26:00,21:26:00,87,3,,0,0,1
37,21:34:00,21:34:00,11,4,,0,0,1
37,21:43:00,21:43:00,24,5,,0,0,1
37,21:58:00,21:58:00,118,6,,0,0,1
37,22:03:00,22:03:00,23,7,,0,0,1
38,17:40:00,17:40:00,23,1,,0,0,1
38,17:56:00,17:56:00,11,2,,0,0,1
38,18:01:00,18:01:00,87,3,,0,0,1
45,06:18:00,06:18:00,118,1,,0,0,1
45,06:32:00,06:32:00,24,2,,0,0,1
45,06:42:00,06:42:00,87,3,,0,0,1
45,06:49:00,06:49:00,20,4,,0,0,1
45,06:54:00,06:54:00,115,5,,0,0,1
47,08:04:00,08:04:00,87,1,,0,0,1
47,08:14:00,08:14:00,20,2,,0,0,1
47,08:26:00,08:26:00,8,3,,0,0,1
47,08:36:00,08:36:00,19,4,,0,0,1
47,08:45:00,08:45:00,18,5,,0,0,1
47,08:53:00,08:53:00,17,6,,0,0,1
47,08:57:00,08:57:00,4,7,,0,0,1
48,09:07:00,09:07:00,87,1,,0,0,1
48,09:17:00,09:17:00,20,2,,0,0,1
48,09:29:00,09:29:00,8,3,,0,0,1
48,09:39:00,09:39:00,19,4,,0,0,1
48,09:48:00,09:48:00,18,5,,0,0,1
48,09:56:00,09:56:00,17,6,,0,0,1
48,10:00:00,10:00:00,4,7,,0,0,1
49,10:07:00,10:07:00,87,1,,0,0,1
49,10:17:00,10:17:00,20,2,,0,0,1
49,10:29:00,10:29:00,8,3,,0,0,1
49,10:39:00,10:39:00,19,4,,0,0,1
49,10:48:00,10:48:00,18,5,,0,0,1
49,10:56:00,10:56:00,17,6,,0,0,1
49,11:00:00,11:00:00,4,7,,0,0,1
50,07:58:00,07:58:00,118,1,,0,0,1
50,08:12:00,08:12:00,111,2,,0,0,1
50,08:20:00,08:20:00,24,3,,0,0,1
50,08:30:00,08:30:00,87,4,,0,0,1
50,08:37:00,08:37:00,20,5,,0,0,1
50,08:42:00,08:42:00,115,6,,0,0,1
51,10:31:00,10:31:00,87,1,,0,0,1
51,10:41:00,10:41:00,20,2,,0,0,1
51,10:53:00,10:53:00,8,3,,0,0,1
51,11:03:00,11:03:00,19,4,,0,0,1
51,11:12:00,11:12:00,18,5,,0,0,1
51,11:20:00,11:20:00,17,6,,0,0,1
51,11:24:00,11:24:00,4,7,,0,0,1
52,08:48:00,08:48:00,118,1,,0,0,1
52,09:02:00,09:02:00,111,2,,0,0,1
52,09:10:00,09:10:00,24,3,,0,0,1
52,09:20:00,09:20:00,87,4,,0,0,1
52,09:27:00,09:27:00,20,5,,0,0,1
52,09:32:00,09:32:00,115,6,,0,0,1
53,10:55:00,10:55:00,87,1,,0,0,1
53,11:05:00,11:05:00,20,2,,0,0,1
53,11:17:00,11:17:00,8,3,,0,0,1
53,11:27:00,11:27:00,19,4,,0,0,1
53,11:36:00,11:36:00,18,5,,0,0,1
53,11:44:00,11:44:00,17,6,,0,0,1
53,11:48:00,11:48:00,4,7,,0,0,1
54,11:19:00,11:19:00,87,1,,0,0,1
54,11:29:00,11:29:00,20,2,,0,0,1
54,11:41:00,11:41:00,8,3,,0,0,1
54,11:51:00,11:51:00,19,4,,0,0,1
54,12:00:00,12:00:00,18,5,,0,0,1
54,12:08:00,12:08:00,17,6,,0,0,1
54,12:12:00,12:12:00,4,7,,0,0,1
55,09:38:00,09:38:00,118,1,,0,0,1
55,09:52:00,09:52:00,111,2,,0,0,1
55,10:00:00,10:00:00,24,3,,0,0,1
55,10:10:00,10:10:00,87,4,,0,0,1
55,10:17:00,10:17:00,20,5,,0,0,1
55,10:22:00,10:22:00,115,6,,0,0,1
56,11:43:00,11:43:00,87,1,,0,0,1
56,11:53:00,11:53:00,20,2,,0,0,1
56,12:05:00,12:05:00,8,3,,0,0,1
56,12:15:00,12:15:00,19,4,,0,0,1
56,12:24:00,12:24:00,18,5,,0,0,1
56,12:32:00,12:32:00,17,6,,0,0,1
56,12:36:00,12:36:00,4,7,,0,0,1
57,12:07:00,12:07:00,87,1,,0,0,1
57,12:17:00,12:17:00,20,2,,0,0,1
57,12:29:00,12:29:00,8,3,,0,0,1
57,12:39:00,12:39:00,19,4,,0,0,1
57,12:48:00,12:48:00,18,5,,0,0,1
57,12:56:00,12:56:00,17,6,,0,0,1
57,13:00:00,13:00:00,4,7,,0,0,1
58,12:31:00,12:31:00,87,1,,0,0,1
58,12:41:00,12:41:00,20,2,,0,0,1
58,12:53:00,12:53:00,8,3,,0,0,1
58,13:03:00,13:03:00,19,4,,0,0,1
58,13:12:00,13:12:00,18,5,,0,0,1
58,13:20:00,13:20:00,17,6,,0,0,1
58,13:24:00,13:24:00,4,7,,0,0,1
59,12:55:00,12:55:00,87,1,,0,0,1
59,13:05:00,13:05:00,20,2,,0,0,1
59,13:17:00,13:17:00,8,3,,0,0,1
59,13:27:00,13:27:00,19,4,,0,0,1
59,13:36:00,13:36:00,18,5,,0,0,1
59,13:44:00,13:44:00,17,6,,0,0,1
59,13:48:00,13:48:00,4,7,,0,0,1
60,13:19:00,13:19:00,87,1,,0,0,1
60,13:29:00,13:29:00,20,2,,0,0,1
60,13:41:00,13:41:00,8,3,,0,0,1
60,13:51:00,13:51:00,19,4,,0,0,1
60,14:00:00,14:00:00,18,5,,0,0,1
60,14:08:00,14:08:00,17,6,,0,0,1
60,14:12:00,14:12:00,4,7,,0,0,1
61,13:43:00,13:43:00,87,1,,0,0,1
61,13:53:00,13:53:00,20,2,,0,0,1
61,14:05:00,14:05:00,8,3,,0,0,1
61,14:15:00,14:15:00,19,4,,0,0,1
61,14:24:00,14:24:00,18,5,,0,0,1
61,14:32:00,14:32:00,17,6,,0,0,1
61,14:36:00,14:36:00,4,7,,0,0,1
62,14:07:00,14:07:00,87,1,,0,0,1
62,14:17:00,14:17:00,20,2,,0,0,1
62,14:29:00,14:29:00,8,3,,0,0,1
62,14:39:00,14:39:00,19,4,,0,0,1
62,14:48:00,14:48:00,18,5,,0,0,1
62,14:56:00,14:56:00,17,6,,0,0,1
62,15:00:00,15:00:00,4,7,,0,0,1
63,14:31:00,14:31:00,87,1,,0,0,1
63,14:41:00,14:41:00,20,2,,0,0,1
63,14:53:00,14:53:00,8,3,,0,0,1
63,15:03:00,15:03:00,19,4,,0,0,1
63,15:12:00,15:12:00,18,5,,0,0,1
63,15:20:00,15:20:00,17,6,,0,0,1
63,15:24:00,15:24:00,4,7,,0,0,1
64,14:55:00,14:55:00,87,1,,0,0,1
64,15:05:00,15:05:00,20,2,,0,0,1
64,15:17:00,15:17:00,8,3,,0,0,1
64,15:27:00,15:27:00,19,4,,0,0,1
64,15:36:00,15:36:00,18,5,,0,0,1
64,15:44:00,15:44:00,17,6,,0,0,1
64,15:48:00,15:48:00,4,7,,0,0,1
65,15:19:00,15:19:00,87,1,,0,0,1
65,15:29:00,15:29:00,20,2,,0,0,1
65,15:41:00,15:41:00,8,3,,0,0,1
65,15:51:00,15:51:00,19,4,,0,0,1
65,16:00:00,16:00:00,18,5,,0,0,1
65,16:08:00,16:08:00,17,6,,0,0,1
65,16:12:00,16:12:00,4,7,,0,0,1
66,15:43:00,15:43:00,87,1,,0,0,1
66,15:53:00,15:53:00,20,2,,0,0,1
66,16:05:00,16:05:00,8,3,,0,0,1
66,16:15:00,16:15:00,19,4,,0,0,1
66,16:24:00,16:24:00,18,5,,0,0,1
66,16:32:00,16:32:00,17,6,,0,0,1
66,16:36:00,16:36:00,4,7,,0,0,1
67,16:07:00,16:07:00,87,1,,0,0,1
67,16:17:00,16:17:00,20,2,,0,0,1
67,16:29:00,16:29:00,8,3,,0,0,1
67,16:39:00,16:39:00,19,4,,0,0,1
67,16:48:00,16:48:00,18,5,,0,0,1
67,16:56:00,16:56:00,17,6,,0,0,1
67,17:00:00,17:00:00,4,7,,0,0,1
