route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"ER",1,1680,"Hunters Point South",1301,1,13,82
"ER",1,1681,"Hunters Point South",1401,1,14,82
"ER",1,1682,"Hunters Point South",1501,1,15,82
"ER",1,1683,"Hunters Point South",1102,1,11,82
"ER",1,1684,"Hunters Point South",1202,1,12,82
"ER",1,1685,"Hunters Point South",1303,1,13,82
"ER",1,1686,"Hunters Point South",1403,1,14,82
"ER",1,1687,"Hunters Point South",1503,1,15,82
"ER",1,1688,"Hunters Point South",1104,1,11,82
"ER",1,1689,"Hunters Point South",1204,1,12,82
"ER",1,1690,"Hunters Point South",1305,1,13,82
"ER",1,1691,"Hunters Point South",1505,1,15,82
"ER",1,1692,"Hunters Point South",1206,1,12,82
"ER",1,1693,"Hunters Point South",1307,1,13,82
"ER",1,1694,"Hunters Point South",1507,1,15,82
"ER",1,1695,"Hunters Point South",1208,1,12,82
"ER",1,1696,"Hunters Point South",1309,1,13,82
"ER",1,1697,"Hunters Point South",1509,1,15,82
"ER",1,1698,"Hunters Point South",1210,1,12,82
"ER",1,1699,"Hunters Point South",1311,1,13,82
"ER",1,1700,"Hunters Point South",1511,1,15,82
"ER",1,1701,"Hunters Point South",1106,1,11,82
"ER",1,1702,"Hunters Point South",1212,1,12,82
"ER",1,1703,"Hunters Point South",1405,1,14,82
"ER",1,1704,"Hunters Point South",1313,1,13,82
"ER",1,1705,"Hunters Point South",1513,1,15,82
"ER",1,1706,"Hunters Point South",1108,1,11,82
"ER",1,1707,"Hunters Point South",1214,1,12,82
"ER",1,1708,"Hunters Point South",1407,1,14,82
"ER",1,1709,"Hunters Point South",1315,1,13,82
"ER",1,1710,"Hunters Point South",1515,1,15,82
"ER",1,1711,"Hunters Point South",1216,1,12,82
"ER",1,1712,"Wall St./Pier 11",1101,0,11,81
"ER",1,1713,"Wall St./Pier 11",1201,0,12,81
"ER",1,1714,"Wall St./Pier 11",1302,0,13,81
"ER",1,1715,"Wall St./Pier 11",1402,0,14,81
"ER",1,1716,"Wall St./Pier 11",1502,0,15,81
"ER",1,1717,"Wall St./Pier 11",1103,0,11,81
"ER",1,1718,"Wall St./Pier 11",1203,0,12,81
"ER",1,1719,"Wall St./Pier 11",1304,0,13,81
"ER",1,1720,"Wall St./Pier 11",1404,0,14,81
"ER",1,1721,"Wall St./Pier 11",1504,0,15,81
"ER",1,1722,"Wall St./Pier 11",1105,0,11,81
"ER",1,1723,"Wall St./Pier 11",1205,0,12,81
"ER",1,1724,"Wall St./Pier 11",1306,0,13,81
"ER",1,1725,"Wall St./Pier 11",1506,0,15,81
"ER",1,1726,"Wall St./Pier 11",1207,0,12,81
"ER",1,1727,"Wall St./Pier 11",1308,0,13,81
"ER",1,1728,"Wall St./Pier 11",1508,0,15,81
"ER",1,1729,"Wall St./Pier 11",1209,0,12,81
"ER",1,1730,"Wall St./Pier 11",1310,0,13,81
"ER",1,1731,"Wall St./Pier 11",1510,0,15,81
"ER",1,1732,"Wall St./Pier 11",1211,0,12,81
"ER",1,1733,"Wall St./Pier 11",1312,0,13,81
"ER",1,1734,"Wall St./Pier 11",1512,0,15,81
"ER",1,1735,"Wall St./Pier 11",1107,0,11,81
"ER",1,1736,"Wall St./Pier 11",1213,0,12,81
"ER",1,1737,"Wall St./Pier 11",1406,0,14,81
"ER",1,1738,"Wall St./Pier 11",1314,0,13,81
"ER",1,1739,"Wall St./Pier 11",1514,0,15,81
"ER",1,1740,"Wall St./Pier 11",1109,0,11,81
"ER",1,1741,"Wall St./Pier 11",1215,0,12,81
"ER",1,1742,"Wall St./Pier 11",1408,0,14,81
"ER",1,1743,"Wall St./Pier 11",1316,0,13,81
"ER",1,1744,"Wall St./Pier 11",1516,0,15,81
"ER",2,1745,"Hunters Point South",1201,1,12,82
"ER",2,1746,"Hunters Point South",1102,1,11,82
"ER",2,1747,"Hunters Point South",1203,1,12,82
"ER",2,1748,"Hunters Point South",1104,1,11,82
"ER",2,1749,"Hunters Point South",1205,1,12,82
"ER",2,1750,"Hunters Point South",1106,1,11,82
"ER",2,1751,"Hunters Point South",1207,1,12,82
"ER",2,1752,"Hunters Point South",1108,1,11,82
"ER",2,1753,"Hunters Point South",1209,1,12,82
"ER",2,1754,"Hunters Point South",1110,1,11,82
"ER",2,1755,"Hunters Point South",1211,1,12,82
