trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
3,09:38:00,09:38:00,4,1,,0,0,1
3,09:45:00,09:45:00,17,2,,0,0,1
3,09:57:00,09:57:00,19,3,,0,0,1
3,10:05:00,10:05:00,8,4,,0,0,1
3,10:17:00,10:17:00,20,5,,0,0,1
3,10:21:00,10:21:00,87,6,,0,0,1
4,15:08:00,15:08:00,4,1,,0,0,1
4,15:15:00,15:15:00,17,2,,0,0,1
4,15:28:00,15:28:00,19,3,,0,0,1
4,15:36:00,15:36:00,8,4,,0,0,1
4,15:48:00,15:48:00,20,5,,0,0,1
4,15:52:00,15:52:00,87,6,,0,0,1
7,06:20:00,06:20:00,87,1,,0,0,1
7,06:28:00,06:28:00,20,2,,0,0,1
7,06:41:00,06:41:00,8,3,,0,0,1
7,06:49:00,06:49:00,19,4,,0,0,1
7,07:01:00,07:01:00,17,5,,0,0,1
7,07:04:00,07:04:00,4,6,,0,0,1
8,06:45:00,06:45:00,87,1,,0,0,1
8,06:53:00,06:53:00,20,2,,0,0,1
8,07:06:00,07:06:00,8,3,,0,0,1
8,07:14:00,07:14:00,19,4,,0,0,1
8,07:26:00,07:26:00,17,5,,0,0,1
8,07:29:00,07:29:00,4,6,,0,0,1
10,07:10:00,07:10:00,87,1,,0,0,1
10,07:18:00,07:18:00,20,2,,0,0,1
10,07:31:00,07:31:00,8,3,,0,0,1
10,07:39:00,07:39:00,19,4,,0,0,1
10,07:51:00,07:51:00,17,5,,0,0,1
10,07:54:00,07:54:00,4,6,,0,0,1
11,07:35:00,07:35:00,87,1,,0,0,1
11,07:43:00,07:43:00,20,2,,0,0,1
11,07:56:00,07:56:00,8,3,,0,0,1
11,08:04:00,08:04:00,19,4,,0,0,1
11,08:16:00,08:16:00,17,5,,0,0,1
11,08:19:00,08:19:00,4,6,,0,0,1
14,08:00:00,08:00:00,87,1,,0,0,1
14,08:08:00,08:08:00,20,2,,0,0,1
14,08:21:00,08:21:00,8,3,,0,0,1
14,08:29:00,08:29:00,19,4,,0,0,1
14,08:41:00,08:41:00,17,5,,0,0,1
14,08:44:00,08:44:00,4,6,,0,0,1
15,08:25:00,08:25:00,87,1,,0,0,1
15,08:33:00,08:33:00,20,2,,0,0,1
15,08:46:00,08:46:00,8,3,,0,0,1
15,08:54:00,08:54:00,19,4,,0,0,1
15,09:06:00,09:06:00,17,5,,0,0,1
15,09:09:00,09:09:00,4,6,,0,0,1
16,08:50:00,08:50:00,87,1,,0,0,1
16,08:58:00,08:58:00,20,2,,0,0,1
16,09:11:00,09:11:00,8,3,,0,0,1
16,09:19:00,09:19:00,19,4,,0,0,1
16,09:31:00,09:31:00,17,5,,0,0,1
16,09:34:00,09:34:00,4,6,,0,0,1
17,10:04:00,10:04:00,87,1,,0,0,1
17,10:12:00,10:12:00,111,2,,0,0,1
18,09:15:00,09:15:00,87,1,,0,0,1
18,09:23:00,09:23:00,20,2,,0,0,1
18,09:36:00,09:36:00,8,3,,0,0,1
18,09:44:00,09:44:00,19,4,,0,0,1
18,09:56:00,09:56:00,17,5,,0,0,1
18,09:59:00,09:59:00,4,6,,0,0,1
19,09:40:00,09:40:00,87,1,,0,0,1
19,09:48:00,09:48:00,20,2,,0,0,1
19,10:01:00,10:01:00,8,3,,0,0,1
19,10:09:00,10:09:00,19,4,,0,0,1
19,10:21:00,10:21:00,17,5,,0,0,1
19,10:24:00,10:24:00,4,6,,0,0,1
20,06:36:00,06:36:00,86,1,,0,0,1
20,06:40:45,06:40:45,66,2,,0,0,0
20,06:42:18,06:42:18,74,3,,0,0,0
20,06:44:23,06:44:23,68,4,,0,0,0
20,06:49:07,06:49:07,107,5,,0,0,0
20,06:50:51,06:50:51,108,6,,0,0,0
20,06:53:42,06:53:42,131,7,,0,0,0
20,06:54:17,06:54:17,133,8,,0,0,0
20,06:56:26,06:56:26,132,9,,0,0,0
20,06:58:27,06:58:27,82,10,,0,0,0
20,07:01:03,07:01:03,83,11,,0,0,0
20,07:03:40,07:03:40,84,12,,0,0,0
20,07:05:40,07:05:40,85,13,,0,0,0
20,07:06:46,07:06:46,67,14,,0,0,0
20,07:11:00,07:11:00,86,15,,0,0,1
21,06:56:00,06:56:00,86,1,,0,0,1
21,07:00:45,07:00:45,66,2,,0,0,0
21,07:02:18,07:02:18,74,3,,0,0,0
21,07:04:23,07:04:23,68,4,,0,0,0
21,07:09:07,07:09:07,107,5,,0,0,0
21,07:10:51,07:10:51,108,6,,0,0,0
21,07:13:42,07:13:42,131,7,,0,0,0
21,07:14:17,07:14:17,133,8,,0,0,0
21,07:16:26,07:16:26,132,9,,0,0,0
21,07:18:27,07:18:27,82,10,,0,0,0
21,07:21:03,07:21:03,83,11,,0,0,0
21,07:23:40,07:23:40,84,12,,0,0,0
21,07:25:40,07:25:40,85,13,,0,0,0
21,07:26:46,07:26:46,67,14,,0,0,0
21,07:31:00,07:31:00,86,15,,0,0,1
22,10:05:00,10:05:00,87,1,,0,0,1
22,10:13:00,10:13:00,20,2,,0,0,1
22,10:26:00,10:26:00,8,3,,0,0,1
22,10:34:00,10:34:00,19,4,,0,0,1
22,10:46:00,10:46:00,17,5,,0,0,1
22,10:49:00,10:49:00,4,6,,0,0,1
33,10:30:00,10:30:00,87,1,,0,0,1
33,10:38:00,10:38:00,20,2,,0,0,1
33,10:51:00,10:51:00,8,3,,0,0,1
33,10:59:00,10:59:00,19,4,,0,0,1
33,11:11:00,11:11:00,17,5,,0,0,1
33,11:14:00,11:14:00,4,6,,0,0,1
37,10:55:00,10:55:00,87,1,,0,0,1
37,11:03:00,11:03:00,20,2,,0,0,1
37,11:16:00,11:16:00,8,3,,0,0,1
37,11:24:00,11:24:00,19,4,,0,0,1
37,11:36:00,11:36:00,17,5,,0,0,1
37,11:39:00,11:39:00,4,6,,0,0,1
51,11:20:00,11:20:00,87,1,,0,0,1
51,11:28:00,11:28:00,20,2,,0,0,1
51,11:41:00,11:41:00,8,3,,0,0,1
51,11:49:00,11:49:00,19,4,,0,0,1
51,12:01:00,12:01:00,17,5,,0,0,1
51,12:04:00,12:04:00,4,6,,0,0,1
70,11:45:00,11:45:00,87,1,,0,0,1
70,11:53:00,11:53:00,20,2,,0,0,1
70,12:06:00,12:06:00,8,3,,0,0,1
70,12:14:00,12:14:00,19,4,,0,0,1
70,12:26:00,12:26:00,17,5,,0,0,1
70,12:29:00,12:29:00,4,6,,0,0,1
72,12:10:00,12:10:00,87,1,,0,0,1
72,12:18:00,12:18:00,20,2,,0,0,1
72,12:31:00,12:31:00,8,3,,0,0,1
72,12:39:00,12:39:00,19,4,,0,0,1
72,12:51:00,12:51:00,17,5,,0,0,1
72,12:54:00,12:54:00,4,6,,0,0,1
73,12:35:00,12:35:00,87,1,,0,0,1
73,12:43:00,12:43:00,20,2,,0,0,1
73,12:56:00,12:56:00,8,3,,0,0,1
73,13:04:00,13:04:00,19,4,,0,0,1
73,13:16:00,13:16:00,17,5,,0,0,1
73,13:19:00,13:19:00,4,6,,0,0,1
74,13:00:00,13:00:00,87,1,,0,0,1
74,13:08:00,13:08:00,20,2,,0,0,1
74,13:21:00,13:21:00,8,3,,0,0,1
74,13:29:00,13:29:00,19,4,,0,0,1
74,13:41:00,13:41:00,17,5,,0,0,1
74,13:44:00,13:44:00,4,6,,0,0,1
75,13:25:00,13:25:00,87,1,,0,0,1
75,13:33:00,13:33:00,20,2,,0,0,1
75,13:46:00,13:46:00,8,3,,0,0,1
75,13:54:00,13:54:00,19,4,,0,0,1
75,14:06:00,14:06:00,17,5,,0,0,1
75,14:09:00,14:09:00,4,6,,0,0,1
76,13:50:00,13:50:00,87,1,,0,0,1
76,13:58:00,13:58:00,20,2,,0,0,1
76,14:11:00,14:11:00,8,3,,0,0,1
76,14:19:00,14:19:00,19,4,,0,0,1
76,14:31:00,14:31:00,17,5,,0,0,1
76,14:34:00,14:34:00,4,6,,0,0,1
77,14:15:00,14:15:00,87,1,,0,0,1
77,14:23:00,14:23:00,20,2,,0,0,1
77,14:36:00,14:36:00,8,3,,0,0,1
77,14:44:00,14:44:00,19,4,,0,0,1
77,14:56:00,14:56:00,17,5,,0,0,1
77,14:59:00,14:59:00,4,6,,0,0,1
78,14:40:00,14:40:00,87,1,,0,0,1
78,14:48:00,14:48:00,20,2,,0,0,1
78,15:01:00,15:01:00,8,3,,0,0,1
78,15:09:00,15:09:00,19,4,,0,0,1
78,15:21:00,15:21:00,17,5,,0,0,1
78,15:24:00,15:24:00,4,6,,0,0,1
79,15:05:00,15:05:00,87,1,,0,0,1
79,15:13:00,15:13:00,20,2,,0,0,1
79,15:26:00,15:26:00,8,3,,0,0,1
79,15:34:00,15:34:00,19,4,,0,0,1
79,15:46:00,15:46:00,17,5,,0,0,1
79,15:49:00,15:49:00,4,6,,0,0,1
80,15:30:00,15:30:00,87,1,,0,0,1
80,15:38:00,15:38:00,20,2,,0,0,1
80,15:51:00,15:51:00,8,3,,0,0,1
80,15:59:00,15:59:00,19,4,,0,0,1
80,16:11:00,16:11:00,17,5,,0,0,1
80,16:14:00,16:14:00,4,6,,0,0,1
81,15:55:00,15:55:00,87,1,,0,0,1
81,16:03:00,16:03:00,20,2,,0,0,1
81,16:16:00,16:16:00,8,3,,0,0,1
81,16:24:00,16:24:00,19,4,,0,0,1
81,16:36:00,16:36:00,17,5,,0,0,1
81,16:39:00,16:39:00,4,6,,0,0,1
82,16:20:00,16:20:00,87,1,,0,0,1
82,16:28:00,16:28:00,20,2,,0,0,1
82,16:41:00,16:41:00,8,3,,0,0,1
82,16:49:00,16:49:00,19,4,,0,0,1
82,17:01:00,17:01:00,17,5,,0,0,1
82,17:04:00,17:04:00,4,6,,0,0,1
83,16:45:00,16:45:00,87,1,,0,0,1
83,16:53:00,16:53:00,20,2,,0,0,1
83,17:06:00,17:06:00,8,3,,0,0,1
83,17:14:00,17:14:00,19,4,,0,0,1
83,17:26:00,17:26:00,17,5,,0,0,1
83,17:29:00,17:29:00,4,6,,0,0,1
84,17:10:00,17:10:00,87,1,,0,0,1
84,17:18:00,17:18:00,20,2,,0,0,1
84,17:31:00,17:31:00,8,3,,0,0,1
84,17:39:00,17:39:00,19,4,,0,0,1
84,17:51:00,17:51:00,17,5,,0,0,1
84,17:54:00,17:54:00,4,6,,0,0,1
85,17:35:00,17:35:00,87,1,,0,0,1
85,17:43:00,17:43:00,20,2,,0,0,1
85,17:56:00,17:56:00,8,3,,0,0,1
85,18:04:00,18:04:00,19,4,,0,0,1
85,18:16:00,18:16:00,17,5,,0,0,1
85,18:19:00,18:19:00,4,6,,0,0,1
87,18:00:00,18:00:00,87,1,,0,0,1
87,18:08:00,18:08:00,20,2,,0,0,1
87,18:21:00,18:21:00,8,3,,0,0,1
87,18:29:00,18:29:00,19,4,,0,0,1
87,18:41:00,18:41:00,17,5,,0,0,1
87,18:44:00,18:44:00,4,6,,0,0,1
88,18:25:00,18:25:00,87,1,,0,0,1
88,18:33:00,18:33:00,20,2,,0,0,1
88,18:46:00,18:46:00,8,3,,0,0,1
88,18:54:00,18:54:00,19,4,,0,0,1
88,19:06:00,19:06:00,17,5,,0,0,1
88,19:09:00,19:09:00,4,6,,0,0,1
90,18:50:00,18:50:00,87,1,,0,0,1
90,18:58:00,18:58:00,20,2,,0,0,1
90,19:11:00,19:11:00,8,3,,0,0,1
90,19:19:00,19:19:00,19,4,,0,0,1
90,19:31:00,19:31:00,17,5,,0,0,1
90,19:34:00,19:34:00,4,6,,0,0,1
91,19:15:00,19:15:00,87,1,,0,0,1
91,19:23:00,19:23:00,20,2,,0,0,1
91,19:36:00,19:36:00,8,3,,0,0,1
91,19:44:00,19:44:00,19,4,,0,0,1
91,19:56:00,19:56:00,17,5,,0,0,1
91,19:59:00,19:59:00,4,6,,0,0,1
99,07:16:00,07:16:00,86,1,,0,0,1
99,07:20:45,07:20:45,66,2,,0,0,0
99,07:22:18,07:22:18,74,3,,0,0,0
99,07:24:23,07:24:23,68,4,,0,0,0
99,07:29:07,07:29:07,107,5,,0,0,0
99,07:30:51,07:30:51,108,6,,0,0,0
99,07:33:42,07:33:42,131,7,,0,0,0
99,07:34:17,07:34:17,133,8,,0,0,0
99,07:36:26,07:36:26,132,9,,0,0,0
99,07:38:27,07:38:27,82,10,,0,0,0
99,07:41:03,07:41:03,83,11,,0,0,0
99,07:43:40,07:43:40,84,12,,0,0,0
99,07:45:40,07:45:40,85,13,,0,0,0
99,07:46:46,07:46:46,67,14,,0,0,0
99,07:51:00,07:51:00,86,15,,0,0,1
106,19:40:00,19:40:00,87,1,,0,0,1
106,19:48:00,19:48:00,20,2,,0,0,1
106,20:01:00,20:01:00,8,3,,0,0,1
106,20:09:00,20:09:00,19,4,,0,0,1
106,20:21:00,20:21:00,17,5,,0,0,1
106,20:24:00,20:24:00,4,6,,0,0,1
108,20:05:00,20:05:00,87,1,,0,0,1
108,20:13:00,20:13:00,20,2,,0,0,1
108,20:26:00,20:26:00,8,3,,0,0,1
108,20:34:00,20:34:00,19,4,,0,0,1
108,20:46:00,20:46:00,17,5,,0,0,1
108,20:49:00,20:49:00,4,6,,0,0,1
109,20:30:00,20:30:00,87,1,,0,0,1
109,20:38:00,20:38:00,20,2,,0,0,1
109,20:51:00,20:51:00,8,3,,0,0,1
109,20:59:00,20:59:00,19,4,,0,0,1
109,21:11:00,21:11:00,17,5,,0,0,1
109,21:14:00,21:14:00,4,6,,0,0,1
110,20:55:00,20:55:00,87,1,,0,0,1
110,21:03:00,21:03:00,20,2,,0,0,1
110,21:16:00,21:16:00,8,3,,0,0,1
110,21:24:00,21:24:00,19,4,,0,0,1
110,21:36:00,21:36:00,17,5,,0,0,1
110,21:39:00,21:39:00,4,6,,0,0,1
111,07:26:00,07:26:00,87,1,,0,0,1
111,07:37:00,07:37:00,114,2,,0,0,1
111,07:47:00,07:47:00,17,3,,0,0,1
111,08:01:00,08:01:00,113,4,,0,0,1
111,08:16:00,08:16:00,112,5,,0,0,1
112,21:20:00,21:20:00,87,1,,0,0,1
112,21:28:00,21:28:00,20,2,,0,0,1
112,21:41:00,21:41:00,8,3,,0,0,1
112,21:49:00,21:49:00,19,4,,0,0,1
112,22:01:00,22:01:00,17,5,,0,0,1
112,22:04:00,22:04:00,4,6,,0,0,1
113,21:45:00,21:45:00,87,1,,0,0,1
113,21:53:00,21:53:00,20,2,,0,0,1
