route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"ER",1,3,"Wall St./Pier 11",1404,0,14,18
"ER",1,7,"Hunters Point South",1201,1,12,17
"ER",1,8,"Hunters Point South",1301,1,13,17
"ER",1,10,"Hunters Point South",1401,1,14,17
"ER",1,11,"Hunters Point South",1102,1,11,17
"ER",1,14,"Hunters Point South",1203,1,12,17
"ER",1,15,"Hunters Point South",1303,1,13,17
"ER",1,16,"Hunters Point South",1403,1,14,17
"ER",1,18,"Hunters Point South",1104,1,11,17
"ER",1,19,"Hunters Point South",1205,1,12,17
"ERS",1,20,"East River Midtown Shuttle",30101,1,301,112
"ERS",1,21,"East River Midtown Shuttle",30201,1,302,112
"ERS",1,99,"East River Midtown Shuttle",30102,1,301,112
"ER",1,115,"Wall St./Pier 11",1101,0,11,18
"ER",1,130,"Hunters Point South",1305,1,13,17
"ER",1,131,"Hunters Point South",1405,1,14,17
"ER",1,193,"Wall St./Pier 11",1302,0,13,18
"ER",1,195,"Wall St./Pier 11",1402,0,14,18
"ER",1,197,"Wall St./Pier 11",1204,0,12,18
"ER",1,198,"Wall St./Pier 11",1304,0,13,18
"ER",1,199,"Wall St./Pier 11",1105,0,11,18
"ER",1,200,"Wall St./Pier 11",1206,0,12,18
"RES",1,237,"Rockaway",10105,0,101,39
"RWS",1,258,"Rockaway",20103,0,201,27
"RWS",1,259,"Rockaway",20105,0,201,27
"RWS",1,260,"Rockaway",20107,0,201,27
"RWS",1,261,"Rockaway",20109,0,201,27
"RWS",1,262,"Rockaway",20111,0,201,27
"RWS",1,263,"Rockaway",20113,0,201,27
"ERS",1,264,"East River Midtown Shuttle",30202,1,302,112
"ERS",1,265,"East River Midtown Shuttle",30103,1,301,112
"ERS",1,266,"East River Midtown Shuttle",30203,1,302,112
"ERS",1,267,"East River Midtown Shuttle",30104,1,301,112
"ERS",1,268,"East River Midtown Shuttle",30204,1,302,112
"ERS",1,269,"East River Midtown Shuttle",30105,1,301,112
"ERS",1,270,"East River Midtown Shuttle",30205,1,302,112
"ERS",1,271,"East River Midtown Shuttle",30106,1,301,113
"ERS",1,272,"East River Midtown Shuttle",30206,1,302,113
"RES",1,273,"Rockaway",10107,0,101,39
"RES",1,274,"Rockaway",10109,0,101,39
"RES",1,275,"Rockaway",10111,0,101,39
"RES",1,276,"Rockaway",10113,0,101,39
"ERS",1,277,"East River Midtown Shuttle",30107,1,301,112
"ERS",1,278,"East River Midtown Shuttle",30207,1,302,112
"ERS",1,279,"East River Midtown Shuttle",30108,1,301,112
"ERS",1,280,"East River Midtown Shuttle",30208,1,302,112
"ERS",1,281,"East River Midtown Shuttle",30109,1,301,112
"ERS",1,282,"East River Midtown Shuttle",30209,1,302,112
"ERS",1,283,"East River Midtown Shuttle",30110,1,301,112
"ERS",1,284,"East River Midtown Shuttle",30210,1,302,112
"ERS",1,285,"East River Midtown Shuttle",30111,1,301,113
"RES",1,287,"Rockaway East",10104,1,101,37
"RES",1,288,"Rockaway East",10106,1,101,37
"RES",1,289,"Rockaway East",10108,1,101,37
"RES",1,290,"Rockaway East",10110,1,101,37
"RES",1,291,"Rockaway East",10112,1,101,37
"RES",1,292,"Rockaway East",10114,1,101,37
